ql_path,vuln_count
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_csr.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_privatekey.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_publickey.ql,25
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_signature.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-116-x509_crl.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-125-ast.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-125-ast3.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-125-Grammar.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-125-symbol.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-125-token.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-19-chef.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-Cfg.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-check_icns_dos.ql,2
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-cloud-cwe-20.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-download-cwe-20.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-federation_base.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-IcnsImagePlugin.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-launcher.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-repository.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-script.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-SSHbase.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-store_invite_servlet.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-Svn.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-tcp.ql,7
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-template.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-threepidunbindservlet.ql,107
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-TProtocol.ql,0
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-Viz.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-20-zeromq.ql,24
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-200-formats.ql,7
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-200-keycloak_cli.ql,4
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-200-settings.ql,4
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-200-swift.ql,7
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-200-ZODBRoleManager.ql,4
C:\code\ql\python\ql\src\Security\ql_outputs\CWE-203-web.ql,6
