ql_path,vuln_count
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_privatekey.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_privatekey_info.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_publickey.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-116-openssl_signature.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-119-tlsrecordlayer.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-125-Grammar.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-134-sandbox.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-Cfg.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-check_icns_dos.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-download-cwe-20.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-emailutils.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-IcnsImagePlugin.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-multifilesystem.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-repository.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-SSHbase.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-Svn.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-20-zeromq.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-21-filesystem-cwe-21.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-22-download-cwe-22.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-22-Expressions.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-22-s3.ql,107
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-255-engine.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-264-cache.ql,6
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-264-kvs.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-264-quota.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-78-notifyplugin.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-78-Trigger.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-0047_rawhtmlblock.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-app-cwe-79.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-base-cwe-79.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-djblets_js.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-httphandler-cwe-79.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-LICENSE.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-notebookapp.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-victim.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-79-ZRPythonExpr.ql,25
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-88-apkleaks-cwe-88.ql,24
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-89-db-cwe-89.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-89-executor.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-89-mixins.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-89-stats.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-89-victim.ql,0
C:\CodeQL\ql\python\ql\src\Security\ql_outputs\CWE-94-report_mirror.ql,0
