CWE-id,Query_id,Name,Vul-type,Description
CWE-20,py/affinity_filter,CWE-20: Improper Input Validation,StackTraceExposureQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/Cfg,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/check_icns_dos,CWE-20: Improper Input Validation,PolynomialReDoSQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/download-cwe-20,CWE-20: Improper Input Validation,PathInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/emailutils,CWE-20: Improper Input Validation,HttpHeaderInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/federation_base,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/IcnsImagePlugin,CWE-20: Improper Input Validation,PathInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/multifilesystem,CWE-20: Improper Input Validation,PathInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/repository,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/SSHbase,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/Svn,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/threepidunbindservlet,CWE-20: Improper Input Validation,PathInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-20,py/zeromq,CWE-20: Improper Input Validation,CommandInjectionQuery,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly. "
CWE-21,py/filesystem-cwe-21,CWE CATEGORY: DEPRECATED: Pathname Traversal and Equivalence Errors,PathInjectionQuery,
CWE-22,py/download-cwe-22,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/Expressions,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/Global,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/regen_golden_master,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/reposync,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/rest_fs_access,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/s3,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/SConscript,Uncontrolled data used in path expression,TarSlipQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/verify,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-22,py/xhu,Uncontrolled data used in path expression,PathInjectionQuery,Accessing paths influenced by users can allow an attacker to access unexpected resources.
CWE-59,py/chroot,CWE-59: Improper Link Resolution Before File Access ('Link Following'),PathInjectionQuery,
CWE-59,py/daemonizer,CWE-59: Improper Link Resolution Before File Access ('Link Following'),TarSlipQuery,
CWE-59,py/EpsImagePlugin-cwe-59,CWE-59: Improper Link Resolution Before File Access ('Link Following'),PathInjectionQuery,
CWE-59,py/jail,CWE-59: Improper Link Resolution Before File Access ('Link Following'),PathInjectionQuery,
CWE-59,py/keycloak_cli,CWE-59: Improper Link Resolution Before File Access ('Link Following'),TarSlipQuery,
CWE-59,py/zone,CWE-59: Improper Link Resolution Before File Access ('Link Following'),PathInjectionQuery,
CWE-74,py/registration,Server Side Template Injection,ReflectedXssQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-74,py/ticketer,Server Side Template Injection,CommandInjectionQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-74,py/_newclient,Server Side Template Injection,ReflectedXssQuery,Using user-controlled data to create a template can lead to remote code execution or cross site scripting.
CWE-77,py/allow_execmod,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),CommandInjectionQuery,"The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component. "
CWE-77,py/guibase,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),CommandInjectionQuery,"The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component. "
CWE-77,py/signature,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),CommandInjectionQuery,"The product constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component. "
CWE-78,py/apkleaks-cwe-78,Uncontrolled command line,CommandInjectionQuery,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.
CWE-78,py/notifyplugin,Uncontrolled command line,CommandInjectionQuery,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.
CWE-78,py/stix2misp,Uncontrolled command line,CommandInjectionQuery,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.
CWE-78,py/Trigger,Uncontrolled command line,CommandInjectionQuery,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.
CWE-79,py/0047_rawhtmlblock,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/api_routes,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/app-cwe-79,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/base-cwe-79,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/chemcalc,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/db-cwe-79,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/djblets_js,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/fckdialog,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/gravatars,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/htmlserializer,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/http,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/httphandler-cwe-79,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/LICENSE,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/mailer,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/mistune,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
CWE-79,py/notebookapp,Reflected server-side cross-site scripting,ReflectedXssQuery,Writing user input directly to a web page allows for a cross-site scripting vulnerability.
